Radical,Freq.,General standard #,,HSK 3.0,Stroke count,Character,Pronounciation,Meaning
人 9.5,2782,788,0.0000132814,7–9,7,伺,cì,"serve, wait upon, attend; examine"
人 9.5,2906,779,0.0000111005,,7,伶,líng,"lonely, solitary; actor"
人 9.5,3180,3733,0.0000078965,,7,佟,tóng,a name
人 9.5,3245,776,0.0000072402,,7,佃,diàn,tenant farmer; be a tenant farmer
人 9.5,3805,3731,0.0000036278,,7,佚,yì,indulge in pleasures; flee
人 9.5,4454,6605,0.0000017726,,7,伲,nì,we (Shanghai dialect)
人 9.5,4569,3734,0.0000015452,,7,佗,tuó,"other, he; surname; a load"
人 9.5,4690,3728,0.0000013126,,7,佞,nìng,flattery; glib
人 9.5,4761,3737,0.0000012041,,7,佘,shé,surname
人 9.5,5065,3732,0.0000008889,,7,佝,gōu,rickets
人 9.5,5502,3605,0.0000005891,,6,佤,wǎ,"the Va (Wa) nationality, living in Yunnan"
人 9.5,5589,3607,0.0000005323,,6,伥,chāng,ghost of one devoured by tiger
人 9.5,5613,3738,0.0000005220,,7,佥,qiān,"all, together, unanimous"
人 9.5,8012,,0.0000000155,,7,佧,kǎ,ancient name for an ethnic group in China
人 9.5,—,6601,0.0000000000,,7,伾,pī,mighty
人 9.5,—,6602,0.0000000000,,7,㑇,zhòu,(a simplified form) clever; ingenious; cute; pretty
人 9.5,—,6603,0.0000000000,,7,伭,xián,"dark, somber; deep, profound"
人 9.5,—,6604,0.0000000000,,7,佖,bì,
人 9.5,—,6606,0.0000000000,,7,佁,yǐ,
人 9.6,119,1139,0.0016344518,2,8,使,shǐ,"cause, send on a mission, order; envoy, messenger, ambassador"
人 9.6,547,1140,0.0003854132,2,8,例,lì,"precedent, example; regulation"
人 9.6,550,1138,0.0003832892,4,8,供,gōng,"supply, provide for; offer in worship"
人 9.6,568,1153,0.0003650157,4,8,依,yī,"rely on, be set in; consent, obey a wish"
人 9.6,1216,1141,0.0001085197,7–9,8,侠,xiá,chivalrous person; knight-errant
人 9.6,1220,1147,0.0001083182,6,8,侧,cè,"side; incline, slant, lean"
人 9.6,1479,1145,0.0000740501,7–9,8,侦,zhēn,"spy, reconnoiter; detective"
人 9.6,1507,1150,0.0000712337,7–9,8,佩,pèi,"belt ornament, pendant; wear at waist, tie to the belt; respect"
人 9.6,1583,1135,0.0000623295,6,8,佳,jiā,"good, auspicious; beautiful; delightful"
人 9.6,1871,1136,0.0000429965,7–9,8,侍,shì,"serve, attend upon; attendant, servant; samurai"
人 9.6,2340,1149,0.0000239427,7–9,8,侨,qiáo,"sojourn, lodge"
人 9.6,2661,1146,0.0000154725,7–9,8,侣,lǚ,companion; associate with
人 9.6,2664,1144,0.0000154364,,8,侄,zhí,nephew
人 9.6,3081,1152,0.0000088009,7–9,8,侈,chǐ,"luxurious, extravagant"
人 9.6,3236,3966,0.0000072970,,8,侬,nóng,I; you; family name
人 9.6,3315,3958,0.0000066924,7–9,8,侃,kǎn,upright and strong; amiable
人 9.6,3323,3951,0.0000066304,,8,佬,lǎo,"(Cant.) man, person; mature"
人 9.6,3359,1142,0.0000062789,,8,侥,jiǎo,"be lucky; by chance, by luck"
人 9.6,3393,3965,0.0000059637,,8,佯,yáng,"pretend, feign; false, deceitful"
人 9.6,3674,3959,0.0000043203,,8,侏,zhū,"small, little, tiny, dwarf"
人 9.6,3993,3964,0.0000030025,,8,佼,jiǎo,"beautiful, handsome, good-looking"
人 9.6,4406,3957,0.0000018708,,8,侗,dòng,"big; ignorant; rude, rustic"
